Sentence,Sentiment,,,,,
President Truman and his advisers were anxious over Sino-Soviet relations and wondered whether American forces could take the port of Dairen and thus prevent the Soviet Union from occupying the Liaotung peninsula of south Manchuria . ,fear,,,,,
"The message was clear as members of Gloucestershire county council turned up to todays budget meeting , with protestors , anxious over the scale of impending cuts urging councillors to think again before wielding the axe . ",fear,,,,,
"Modigliani was plagued and anxious because of the difficulty of finding models , and when one had been found he waited in a state of tension for fear of being let down . ",fear,,,,,
"Now Mr Rifkind has written to the BSC chairman , Sir Robert Scholey , asking for further assurances after meeting anxious union leaders . ",fear,,,,,
"A patient in an anxious state is more likely to bump into , or trip over , objects ; shaking or tense hands are more likely to drop things , spill things and so on . ",fear,,,,,
"It all started early this morning , when a rather anxious mum called in at the office . ",fear,,,,,
"Tero followed them at a distance , watching her new friend with sorrowful anxious eyes . ",fear,,,,,
"She was particularly concerned when , shortly before her wedding day , she discovered that Prince Charles planned to give his friend a bracelet inscribed with their nicknames ` Fred "" and ` Gladys "" . ",fear,,,,,
I became concerned when I saw my husband becoming a different person . ,fear,,,,,
"Jose , the refuge guardian , was concerned when Jeremy did n't return to Elola on the evening of Sunday , October 21 -- he had left his camping gear behind in the hut .",fear,,,,,
Everyone is terribly concerned at the moment ; we had thought that the security at St Helier was tighter than in most other hospitals . ,fear,,,,,
Maria 's ( 3.5 years ) parents were concerned because of her severe headbanging at home .,fear,,,,,
Elaine 's voice was concerned but deep inside she hoped he would not decide to go to the party . ,fear,,,,,
Hank was thoroughly disquieted . ,fear,,,,,
Blanche was disquieted but not sure why . ,fear,,,,,
"Feeling thoroughly disquieted , she left her room in a rush . ",fear,,,,,
"In Washington there was understanding , but just as much disquiet about British Defence policy . ",fear,,,,,
We shall find reason for disquiet about this argument . ,fear,,,,,
"Nevertheless , even among non-abolitionists ( and across most of the political spectrum ) there has been grave disquiet about the state of the prisons . ",fear,,,,,
"But the STUC also voiced disquiet about the way last Monday 's picketing was handled by police , and said it had secured a pledge that policing would now be ` even-handed "" . ",fear,,,,,
"Despite the disquiet at the club this year , Mr Stringer still appears more relaxed and more in control than he did when he first took charge in that winter of 1987 .",fear,,,,,
There was widespread disquiet in the media and elsewhere . ,fear,,,,,
Polanski had received notices of similar disquiet over his films . ,fear,,,,,
There may be cases where there is parliamentary disquiet over a ministerial proposal and then the minister has a change of mind . ,fear,,,,,
His comments are a major diplomatic gaffe as the CRC has supported the region in its disquiet over the CRE 's decision to begin an investigation . ,fear,,,,,
"Nevertheless , the Commission 's disquiet has not prevented it from agreeing the designation . ",fear,,,,,
"Apparently the RLD was not aware of the details of the Vanguard accident at that time , but the subsequent publication of the report on the accident should have reinforced their disquiet . ",fear,,,,,
She voiced her disquiet and Ana laughed . ,fear,,,,,
Listening to parents in the playground and at more formal events such as parents ' evenings should alert staff to early stages of parental disquiet . ,fear,,,,,
"That was still the kind of work that I wanted to do , and if I thought very much a comprehensive schools it was in a spirit of mild disquiet . ",fear,,,,,
My heart was thumping with disquiet . ,fear,,,,,
I have received no representations on that matter and I am not aware of any disquiet among the groups that the hon. Gentleman described . ,fear,,,,,
The Department of Health is aware of the disquiet among dentists . ,fear,,,,,
His comments are a major diplomatic gaffe as the CRC has supported the region in its disquiet over the CRE 's decision to begin an investigation . ,fear,,,,,
"However , does the right hon. Gentleman recognise that profound disquiet has been expressed about some of the proposals in the Bill , particularly the fast-track ones ? ",fear,,,,,
"This last may be a source of considerable disquiet and one might not at first see how such obviously ` immoral "" content could be defended as part of a system of morality . ",fear,,,,,
But her symbolic stance emerges at a time when there is considerable disquiet over the imaging of children . ,fear,,,,,
"Li Shai Tung looked across at him , smiling ; but behind the smile -- beyond it , in some darker , less accessible place -- lay a deep disquiet . ",fear,,,,,
"There was public disquiet , questions in the Commons and an enquiry ordered into Jeffrey 's whereabouts . ",fear,,,,,
"Costly experiments on the teeth of live dogs or primates , not to mention the public disquiet about such animal testing , might be avoided and delays reduced . ",fear,,,,,
"There was considerable public disquiet anyway , but now that bugger Parkhurst has panicked the entire country , we are going to have to lie very low . "" ",fear,,,,,
"Also some disquiet surrounds the production of "" second generation "" vaccines using genetically engineered microbes to make fragments of viruses . ",fear,,,,,
"IMPRESSED just this side of awe as I am by the Department of Transport and its fearless tackling of such problems as juggernaut lorries and EEC regulations , I must nevertheless confess some disquiet about a recent plan . ",fear,,,,,
Accountants inevitably greeted the court 's finding with some disquiet . ,fear,,,,,
THE Princess of Wales has once more caused disquiet among fashion commentators by sticking to her own rules . ,fear,,,,,
But there is no doubt that some of these ideas are causing great disquiet among Branch Management and Staff . ,fear,,,,,
"Some of his actions , in particular the unexpected introduction of a constitutional amendment allowing for an elected Vice-President and the subsequent appointment of Moudud Ahmed to that post , caused some disquiet among party members . ",fear,,,,,
"If there is continuing disquiet about the way an industry is being run , Members can express their disquiet by questioning the fitness of the persons appointed by the Government to run it . ",fear,,,,,
"In his meeting with Bush , zal reportedly sought to express his disquiet about a bill passing through the US Congress aimed at marking the "" 75th anniversary of the Armenian genocide of 1915-23 "" .",fear,,,,,
"In 1989 he began libel proceedings in the UK against the Singapore government after the Privy Council had expressed "" deep disquiet "" over his treatment by the government [ see p. 37574 ] .",fear,,,,,
"Startled , and by now more than a little frightened , Patrick headed for Foyles , hoping to lose his followers in the bookshop 's maze of nooks and corners . ",fear,,,,,
Deep down I get more and more frightened . ,fear,,,,,
I 'm really frightened .  ,fear,,,,,
"The ambassador dithered so Benjamin stormed out , grasped a frightened servant and made him take us to where Clinton was sitting with the Lady Francesca in a small bower built against the chateau wall . ",fear,,,,,
D.H. And no criticism of the drugs or medical regime because they 're too frightened . ,fear,,,,,
"I do n't very often feel frightened , but then I do n't often put myself in that vulnerable position . ",fear,,,,,
"It 'll be very loud and you might get frightened . "" ",fear,,,,,
"He was more frightened than he had been in all the time he had been with them , and he could tell that the girl was frightened too , by her quick , shallow breathing . ",fear,,,,,
"They caught a suspicious individual one evening , and turned him over to the police ; but he turned out to be a frightened bilberry-picker who had lost his way . ",fear,,,,,
"I used to stutter a lot in those days , I was a very frightened boy . ",fear,,,,,
He was very frightened now . ,fear,,,,,
` Those poor little girls must be frightened out of their minds ! ,fear,,,,,
Someone must have buried them when they were too frightened to hand them in to the police station . ,fear,,,,,
Mr Kinnock says the Prime Minister is too frightened to debate the issue . ,fear,,,,,
"Slowly , he corners the frightened younger boy , talks reassuringly as he kisses and caresses him . ",fear,,,,,
"As the frightened boy bolted to Gooseneck 's side , there was a scream from Fishbane 's corner where an unwary Pole had reaped the consequences of turning her back to view the drama . ",fear,,,,,
"Without another word , Bert Rafferty gently picked up the frightened child and made towards the cliff . ",fear,,,,,
They looked like a crowd of frightened children . ,fear,,,,,
"He says that Childine must survive because it has proved itself a lifeline for thousands of frightened , lonely and distressed children . ",fear,,,,,
The impact had caused it to buck like a frightened horse . ,fear,,,,,
I saw the frightened horses on the edge of a steep drop . ,fear,,,,,
"In one room , a frightened man bared his back which was a mass of scabs and bruises . ",fear,,,,,
"Ten cold , frightened men climbed out of their trench and listened to the young officer in cynical silence . ",fear,,,,,
"Or was it just fear that paralysed her , like a frightened rabbit ? ",fear,,,,,
The young woman just stared back like a frightened rabbit . ,fear,,,,,
They 're frightened to death . ,fear,,,,,
"The poor frightened girl packed her things and ran out , saying she was going to Reno for a divorce . ",fear,,,,,
"She started like a frightened cat , and looked up at him wide-eyed . ",fear,,,,,
"Her ladyship looked frightened , shocked . ",fear,,,,,
Some of the house servants were missing and everybody looked frightened . ,fear,,,,,
"She sounded frightened , a little distraught . ",fear,,,,,
She 'd felt quite frightened and had n't accepted the invitation . ,fear,,,,,
"The first week I was at the school , I attempted to climb a tree , and was reproved by a horrified prefect . ",fear,,,,,
"Then she was silent , staring at him with horrified eyes . ",fear,,,,,
"His glance slid over to them , taking in the horrified Katarina surrounded by malicious-looking women . ",fear,,,,,
"He had thus been forced to hide his ignorance , which ill became a bohemian poet , when the trial burst upon a horrified society . ",fear,,,,,
"Mr McWhinney ( 55 ) , of Drumhark Road , Comber , died instantly when his single-engined Pulsar plunged to the ground in front of horrified spectators .",fear,,,,,
"At which point , according to my informant , everyone looked absolutely horrified and said : ` Oh no , Prime Minister ! ",fear,,,,,
"With a little grimace , she turned to stare with rather horrified fascination at the dark oil paintings that lined the walls . ",fear,,,,,
"Raising her eyes , she stared in rather horrified fascination at the opening door . ",fear,,,,,
 Do n't look so horrified ! ,fear,,,,,
"When I asked if they could make me an identical one trimmed with black fur and beading instead , they were horrified but they agreed in the end . "" ",fear,,,,,
A cold draught of air was coming from the kitchen and I found the back door to be wide open -- and then my horrified glance fell upon Aunt Louise . ,fear,,,,,
"Charles was horrified , conscious that his brother was now disqualified as a man of God from leading an invasion , and , as a celibate , from having a legitimate heir . ",fear,,,,,
"If I mention our separate sleeping arrangements to friends , they are horrified . ",fear,,,,,
There was one other horrified observer of the scene . ,fear,,,,,
 The parents are horrified and I am totally disgusted . ,fear,,,,,
"When he saw her horrified expression , however , he stopped being a doctor and became quite fatherly instead . ",fear,,,,,
He gave one swift look at her horrified expression before continuing . ,fear,,,,,
"He looked at the children , at Nick 's horrified face , and then at Auntie Lou . ",fear,,,,,
"Barely registering Gwen 's horrified face , she turned and whirled out , crashing the back door against the wall so hard that the echoes seemed to follow her fleeing figure . ",fear,,,,,
One horrified look told him that Daisy had already sunk to her pasterns . ,fear,,,,,
Lily shot a quick horrified look up and down the road . ,fear,,,,,
"The despairing , faithless , gaping , horrified wife looked down at her lover , and knew that he was dead . ",fear,,,,,
She shot him a horrified look . ,fear,,,,,
"One itemised phone bill to Bedworth 's horrified mother ran to 34 pages of listed calls , the jury heard .",fear,,,,,
"His horrified mother made a public appeal for the return of the ring , given to her by husband Alfed 18-years ago .",fear,,,,,
" It was just like Rambo ,  said one of the scores of horrified students who fled from the university after the massacre . ",fear,,,,,
The passengers looked horrified . ,fear,,,,,
The Doctor looked horrified . ,fear,,,,,
Aggie looked horrified as she caught sight of the horse dung on his hobnailed boots . ,fear,,,,,
"Daisy leaned forward , at once horrified and fascinated . ",fear,,,,,
"The horror in her voice was almost ludicrous , and Briant raised his eyebrows slightly . ",fear,,,,,
"With horror in her eyes , the nurse stated that the young girl had tearfully told the physician the events that had led to her tragic situation . ",fear,,,,,
"Even as he spoke , she saw the dawning horror in his eyes . ",fear,,,,,
Imagine the horror on my beloved 's face when he discovered I had in fact flung in the rubbish his much prized and read collection of Guitarist magazines ! ,fear,,,,,
Melanie was shocked to see the horror on her aunt 's face . ,fear,,,,,
Charlotte looked at Ursula and saw a frozen expression of horror on her face . ,fear,,,,,
"Rather than match China 's firmness , it can be confidently predicted , the Hong Kong authorities will follow past form , cease muttering about their shock and horror over Tiananmen , and return to bland assurances that the negotiations with Peking about a post-1997 ` Basic Law "" for Hong Kong are going well .",fear,,,,,
"But the blank horror over Khmer Rouge atrocities between 1975 and 1978 has created a blind spot about its strength in Cambodia , and the growing likelihood that it will return to power , either on its own or with the other Cambodian opposition factions .",fear,,,,,
Tug had just one glimpse of the girl 's horror as her mouth and her eyes opened wide . ,fear,,,,,
You can imagine my horror ! ,fear,,,,,
"Then she remembered his horror when he 'd said , ` Do n't tell me you 're a virgin ! "" and her heart closed in on itself like a wounded animal . ",fear,,,,,
Ray Shepherd 's voice was quiet and he ignored his son 's mounting horror . ,fear,,,,,
"Meanwhile Crowe , who had been watching the carnage unfold from the other end with increasing horror , unfurled some strokes of class in an attempt to ease the situation . ",fear,,,,,
Some of us contemplate this prospect with horror . ,fear,,,,,
"She gazed at Ruth , and her face seemed to fill up with horror . ",fear,,,,,
"` Did you have a good day at the office ? "" she asked , hearing herself with horror . ",fear,,,,,
Eyewitnesses told of the horror as shrapnel rained down on shoppers from two devices placed in cast-litter bins less than ten yards apart . ,fear,,,,,
"Aston Villa are having a great run , but they hold no particular horrors for the Norwich players . ",fear,,,,,
"Constant recounting of this tale embroidered it further , describing the woman 's horror as the head , missing the basket , gripped her apron and held on with its teeth ! ",fear,,,,,
"This ` return to the sources "" discovers either that such primitive celebrations are entirely divorced from modern sexuality , or that they always concealed a deathly horror . ",fear,,,,,
"For Swift , there is a connection between cosmetics and prostitution ; the carefully assembled exterior often conceals both physical horror and moral contamination . ",fear,,,,,
"A few months later Gough Whitlam brought the Australian Army home but it is said that for those who experienced the horrors , each one left a little piece of themselves out in Viet . ",fear,,,,,
I wanted to express my fear and my horror . ,fear,,,,,
"He paused before stepping out onto the roof , a look of horror on his face . ",fear,,,,,
He saw the look of horror on my face . ,fear,,,,,
The idea of their having a say in the running of a club appears to make officials recoil with horror . ,fear,,,,,
"I have climbed it from all sides , every time making new discoveries , finding new surprises and delights and , let me confess , secret places from which I have recoiled in horror . ",fear,,,,,
Ashley recoiled in horror . ,fear,,,,,
"We had n't gone very far when we met up with another Lancaster returning from a Cook 's Tour , and to my horror the two aircraft then flew wing-tip to wing-tip all the way home . ",fear,,,,,
Yanto realised to his horror he was now the nearest man to the exit bar . ,fear,,,,,
"To Shiona 's absolute horror , Jake had blamed her . ",fear,,,,,
People waiting for trains watched in horror as the violence spread towards the Festi Hall . ,fear,,,,,
Rex watched in horror as the black claw tore Bill 's left arm from its socket and flung it far up the street . ,fear,,,,,
` I felt less nervous in the play-off against Faldo than I have here . ,fear,,,,,
Quite a few of my classmates had done their speeches and I was getting really nervous as the day for my turn drew closer and closer . ,fear,,,,,
I seem to be more nervous in that way than I once was . ,fear,,,,,
"The girls exchanged nervous glances , thinking that it must be Miss Hardbroom come to reprimand them for being out of bed . ",fear,,,,,
There was a nervous laugh at this topical sally provided by the Zola trial . ,fear,,,,,
The silence that followed was finally broken by a nervous laugh from one of the men-at-arms . ,fear,,,,,
The boy gave a nervous smile ; Jean-Paul gestured to the waiter . ,fear,,,,,
Roberts looked nervous but kept a fixed smile . ,fear,,,,,
"Flaps are described in detail for the many pilots who do not fully understand how to make the best use of them , and who may be nervous about their first flights in a flapped machine . ",fear,,,,,
I was also under no illusion that some backbenchers on our side were nervous about the policy . ,fear,,,,,
"He was , naturally , sometimes nervous in the face of my beauty ; and at other times needlessly pleased with himself . ",fear,,,,,
Nothing happened -- not that she 'd really thought anything would -- although there was a nervous tingle in her fingers . ,fear,,,,,
"Exhausted and nervous , councillors disappear into small cabals . ",fear,,,,,
"She tried to sleep , but she was desperately nervous about tomorrow . ",fear,,,,,
"Not so much a merciful touch , more likely a measure to prevent suddenly terror-stricken passengers from attempting to escape into the crowd . ",fear,,,,,
"The girl was glued to the spot , terror-struck , pop-eyed , quivering , knowing for certain that the Day of Judgment had come for her at last . ",fear,,,,,
If this happened they would be terror-stricken . ,fear,,,,,
Two fierce eyes glared at the terror-stricken sailors . ,fear,,,,,
Leo demanded as he wrenched back to stare down into her almost terror-stricken face . ,fear,,,,,
A CITY 'S terror-stricken minicab drivers are threatening to quit their jobs in fear after the murder of a young cabbie . ,fear,,,,,
"` I 'm not particularly worried if players do n't score , but you just ca n't stroll around . ",fear,,,,,
They simply could not understand why people in England were so worried . ,fear,,,,,
"Rose stood looking down at her , a worried expression in her eyes . ",fear,,,,,
This leads to highly agitated motions and correspondingly high temperatures . ,fear,,,,,
His two thumbs rotated about one another as they always did when he was agitated and looking for a way to strike . ,fear,,,,,
She was agitated ; there were a few tears . ,fear,,,,,
"Little Maureen was agitated , but she made a nice speech . ",fear,,,,,
"` When we came to tell you that the service was postponed you were in a very agitated state -- but then it was difficult to persuade you to leave off playing . "" ",fear,,,,,
"` When a police sergeant revisited Mr Thompson he was still clearly the worse for drink and was in an agitated state . "" ",fear,,,,,
He was becoming agitated . ,fear,,,,,
The priest became agitated . ,fear,,,,,
"The Spaniard was becoming agitated again , wondering whether he had already gone too far . ",fear,,,,,
She was getting agitated . ,fear,,,,,
Do n't get agitated . ,fear,,,,,
"He paced about for some time , looking agitated . ",fear,,,,,
Rachel and her mother looked agitated . ,fear,,,,,
Country and Western is suitable for calming an agitated animal ,fear,,,,,
"It emerged that , in conscious and especially in excited or agitated patients , the drug produced a remarkable state of inactivity or indifference . ",fear,,,,,
"Annabel said in an agitated voice , ` I feel as if my mind is whirling madly , like a hurricane . ",fear,,,,,
"Just before we were to go upstairs to be photographed , an agitated Nigel Lawson came up to me saying that he wanted a word . ",fear,,,,,
"Trance-like he drove down the Edgware Road , responding to the multitudinous traffic lights with mechanical movements , while the agitated Eleanor continued to lash his unreceptive ear with a never-ending stream of abuse . ",fear,,,,,
"The boss sounded agitated when I spoke to him over the phone . "" ",fear,,,,,
"At Portsmouth , Lily Lee creatively amplifies a passage from Machiavelli 's The Prince , inscribing a chilling statement in a bold agitated hand . ",fear,,,,,
An agitated old lady addressed Ramsey severely and asked why he did not go back to his own country and do good there instead of stirring up trouble in the United States . ,fear,,,,,
"More usually it left him ashamed and angry , despite his wife 's kind words of consolation , and Ashi herself in an agitated state of dissatisfaction and unhappiness . ",fear,,,,,
"He seemed agitated , restlessly pacing about , looking out into the crowds , then drawing back into the shelter of the arcade . ",fear,,,,,
"Nevertheless , Maeve 's sharp eyes had missed nothing ; her husband looked exhausted , troubled , and now she felt agitated . ",fear,,,,,
"Suddenly , a wave of tiredness swept through her and she closed her eyes for a moment , during which the girl remained quiet , but visibly agitated and eager to be getting on with her work . ",fear,,,,,
Behind the front door hovered a small and wiry man who appeared greatly agitated and whose polished bald head was flushed and sweating profusely in spite of the cold . ,fear,,,,,
"Perhaps the mural makes it new , so shamelessly bright upon the wall like something spilt , and the restless assortment of weekend patrons who watch the stage with agitated and expectant eyes . ",fear,,,,,
What a contrast with the rattled and untrustworthy gamblers at Number 10 and Number 11 Downing Street .,fear,,,,,
""" Dear God , "" he said , beginning to get rattled . ",fear,,,,,
"You could n't simply ignore the fact that he had sentenced you to death , but it was important to let him know that you were n't rattled . ",fear,,,,,
There is a clear lesson there for a beleagured John Major and a rattled Tory government . ,fear,,,,,
"While Grant was wakening the kids , he discovered to his dismay that most of the cubicles held four occupants , sleeping in bunk beds . ",fear,,,,,
"The first important truth for voters in such spirits is that , in their dismay about recent economic and political errors , they are forgetting the immense Tory achievements which preceded them , and are now at risk again . ",fear,,,,,
There was dismay in Belgrade . ,fear,,,,,
"Equally inevitably , there was outrage and dismay in India . ",fear,,,,,
"THE Italian writer Primo Levi died on 11 April 1987 , to the dismay of his readers .",fear,,,,,
"To the dismay of the South Africans , umpire Cumberbatch merely signalled a leg-side wide . ",fear,,,,,
"Ian Fleming 's superhero first appeared in Issue 4 of ZZAP ! , much to the dismay of the reviewing team .",fear,,,,,
"The Estonians require a language test before full civil rights are granted , to the dismay of their Russian-speaking population . ",fear,,,,,
"Typically , Gould 's infrequent letters home detailed only his ornithological exploits , much to the dismay of the household , who were desperate to hear news of a more personal nature . ",fear,,,,,
"Seeing the look of dismay on her mother 's face , Tamar continued , ` You wo n't be telling a lie . ",fear,,,,,
The bank had made no secret of their dismay over Virgin 's venture into airlines . ,fear,,,,,
"Journalists were asked by the manager to attend a midday conference at Celtic Park in the expectation that Brady would be commenting on his dismay over anonymous , directorial criticism of the team 's progress . ",fear,,,,,
"He listened soberly and with growing dismay to what the young bank officer from Jeddah had to say , and scanned the computer printouts across his desk with a practised eye . ",fear,,,,,
Edward concealed his dismay . ,fear,,,,,
"In the thirtieth minute , Gary Weaving scored what looked like a perfectly good goal , only for the linesman to rule it out for offside , to everyone 's dismay . ",fear,,,,,
"` It 's stuck ! "" she cried in dismay . ",fear,,,,,
"Anyone could have typed that message and his initial , she realised with dismay . ",fear,,,,,
"She jumped up , frowning in dismay . ",fear,,,,,
"Gascoigne is the first Englishman to fill the role since Bobby Charlton , a man whose absence from a team sheet spread dismay among team-mates and supporters alike . ",fear,,,,,
Please do n't let the dismay of the pro-Ford lobby colour your judgement in future road tests . ,fear,,,,,
"There was dismay on her face , now . ",fear,,,,,
"To the dismay of German suppliers , Mr Lopez is also eager to share this advice with foreign competitors . ",fear,,,,,
I watched with dismay as they hit the floor and bounced to eight dusty oblivions . ,fear,,,,,
"In this he resembled Bonamy Dobre at Leeds , who reacted with the utmost dismay when his pet student , Robin Skelton , announced his engagement to a fellow-student . ",fear,,,,,
"Perhaps it was something in the dowager-duchess 's voice that caused it , but Joan to her own dismay burst into tears . ",fear,,,,,
"I read with dismay the remark attributed to the Central Scotland Water Development Board in your report today that ` water required powerful law "" , otherwise , the water authorities ` would never get anything done "" . ",fear,,,,,
"He predicted ` deep dismay in Hong Kong , deepened only by the statement of the official Opposition . "" ",fear,,,,,
"She wrote : "" Thank you for your letter dated 9th October 1991 which I have read with great dismay .",fear,,,,,
"Effortlessly , his knee slid to part her legs , but when she threw him a look of utter dismay he paused . ",fear,,,,,
"The commercial ethic meant some deterioration in standards , while the cutbacks in the Overseas News department , one of the glories of Bush House , caused much dismay in the public communications world . ",fear,,,,,
This caused a good deal of consternation and dismay in Westminster . ,fear,,,,,
"And it was equally insistent that a policy of retreat would cause dismay in Washington , thereby diminishing Britain 's ability to exert influence over American policy . ",fear,,,,,
Floyd Patterson has expressed dismay over the current treatment . ,fear,,,,,
"Edouard looked at him , and felt a sickening dismay . ",fear,,,,,
"When Tina and the children moved into the School , Cecilia felt both dismay and guilty relief . ",fear,,,,,
"But he felt ` dismay and sorrow for so many people in our country who do not share this personal good fortune . "" ",fear,,,,,
"They stared at one another in dismay , the sad , small wickedness of their friends and neighbours strewn around their minds like dirty confetti from a party long past . ",fear,,,,,
Cleo stared at the contents with dismay . ,fear,,,,,
Melissa stared at her friend in dismay . ,fear,,,,,
Successive state elections have seen the governing parties pummelled by a dismayed electorate . ,fear,,,,,
Vincent was irritated but not dismayed . ,fear,,,,,
Kendall-Hume turned back to face the dismayed couple . ,fear,,,,,
"I am dismayed , but not surprised . ",fear,,,,,
